NUMSECCENS;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a
6013.0;0.4364406779661017;0.1059322033898305;0.4491525423728814;0.00847457627118644
6019.0;0.3668639053254438;0.11834319526627218;0.5029585798816568;0.011834319526627219
6025.0;0.467005076142132;0.1065989847715736;0.4010152284263959;0.025380710659898477
6028.0;0.44982698961937717;0.10726643598615918;0.4290657439446367;0.01384083044982699
6031.0;0.4759036144578313;0.12048192771084337;0.39156626506024095;0.012048192771084338
6039.0;0.4976958525345622;0.10138248847926268;0.3870967741935484;0.013824884792626729
6048.0;0.5986622073578596;0.0903010033444816;0.30434782608695654;0.006688963210702341
7005.0;0.6139534883720931;0.09767441860465116;0.2837209302325581;0.004651162790697674
7011.0;0.3812154696132597;0.09392265193370165;0.5248618784530387;0.0
7023.0;0.5095785440613027;0.10344827586206896;0.3831417624521073;0.0038314176245210726
7027.0;0.5852534562211982;0.06451612903225806;0.33640552995391704;0.013824884792626729
7030.0;0.6046511627906976;0.09883720930232558;0.27906976744186046;0.01744186046511628
7034.0;0.4444444444444444;0.1282051282051282;0.41452991452991456;0.01282051282051282
7043.0;0.48;0.08444444444444445;0.4266666666666667;0.008888888888888889
7046.0;0.5384615384615384;0.1;0.35;0.011538461538461539
7048.0;0.515695067264574;0.11659192825112108;0.35874439461883406;0.008968609865470852
7050.0;0.5440414507772021;0.10880829015544041;0.33678756476683935;0.010362694300518135
7066.0;0.46296296296296297;0.11728395061728394;0.41358024691358025;0.006172839506172839
7067.0;0.4226190476190476;0.13690476190476192;0.43452380952380953;0.005952380952380952
7071.0;0.5084745762711864;0.0903954802259887;0.3954802259887006;0.005649717514124294
7072.0;0.5632183908045977;0.1111111111111111;0.31800766283524906;0.007662835249042145
7074.0;0.43014705882352944;0.10294117647058823;0.45588235294117646;0.011029411764705883
7076.0;0.5761904761904761;0.07142857142857142;0.32857142857142857;0.023809523809523808
7077.0;0.551094890510949;0.08759124087591241;0.35036496350364965;0.010948905109489052
7082.0;0.5049833887043189;0.12956810631229235;0.3554817275747508;0.009966777408637873
7089.0;0.5191489361702127;0.10212765957446808;0.3659574468085106;0.01276595744680851
7090.0;0.5547169811320755;0.1018867924528302;0.3320754716981132;0.011320754716981131
7091.0;0.6200980392156863;0.09068627450980392;0.2867647058823529;0.0024509803921568627
7092.0;0.5474452554744526;0.11313868613138686;0.3248175182481752;0.014598540145985401
7095.0;0.5149700598802395;0.11377245508982035;0.3592814371257485;0.011976047904191617
8001.0;0.4698275862068966;0.12931034482758622;0.38362068965517243;0.017241379310344827
8003.0;0.5113636363636364;0.11931818181818182;0.35795454545454547;0.011363636363636364
8006.0;0.573943661971831;0.09859154929577464;0.3204225352112676;0.007042253521126761
8007.0;0.5205479452054794;0.1050228310502283;0.3607305936073059;0.0136986301369863
8010.0;0.5316455696202531;0.11392405063291139;0.34177215189873417;0.012658227848101266
8011.0;0.5018450184501845;0.07749077490774908;0.4132841328413284;0.007380073800738007
8012.0;0.4921875;0.09635416666666667;0.4036458333333333;0.0078125
8013.0;0.5196850393700787;0.0984251968503937;0.37401574803149606;0.007874015748031496
8015.0;0.48502994011976047;0.0718562874251497;0.4311377245508982;0.011976047904191617
8017.0;0.542713567839196;0.07035175879396985;0.38190954773869346;0.005025125628140704
8018.0;0.5865384615384616;0.08653846153846154;0.3125;0.014423076923076924
8028.0;0.5108359133126935;0.08359133126934984;0.3993808049535604;0.006191950464396285
8029.0;0.5486111111111112;0.09722222222222222;0.3472222222222222;0.006944444444444444
8030.0;0.5697115384615384;0.09615384615384616;0.31971153846153844;0.014423076923076924
8031.0;0.5380952380952381;0.09047619047619047;0.36666666666666664;0.004761904761904762
8033.0;0.6371428571428571;0.07714285714285714;0.27714285714285714;0.008571428571428572
8035.0;0.6005747126436781;0.1235632183908046;0.27011494252873564;0.005747126436781609
8036.0;0.4659090909090909;0.07386363636363637;0.44886363636363635;0.011363636363636364
8039.0;0.4769874476987448;0.09205020920502092;0.41422594142259417;0.016736401673640166
8040.0;0.6005917159763313;0.08579881656804733;0.3047337278106509;0.008875739644970414
8041.0;0.4816753926701571;0.10471204188481675;0.39790575916230364;0.015706806282722512
8042.0;0.5866666666666667;0.09666666666666666;0.30666666666666664;0.01
8043.0;0.635;0.095;0.26;0.01
8044.0;0.6195652173913043;0.07608695652173914;0.29891304347826086;0.005434782608695652
8052.0;0.47701149425287354;0.09770114942528736;0.40804597701149425;0.017241379310344827
8054.0;0.5686900958466453;0.14376996805111822;0.2715654952076677;0.01597444089456869
8055.0;0.5391705069124424;0.09216589861751152;0.3548387096774194;0.013824884792626729
8056.0;0.6311475409836066;0.10245901639344263;0.25;0.01639344262295082
8057.0;0.6379310344827587;0.09359605911330049;0.25862068965517243;0.009852216748768473
8058.0;0.6521739130434783;0.08695652173913043;0.2515527950310559;0.009316770186335404
8059.0;0.6920731707317073;0.08841463414634146;0.21341463414634146;0.006097560975609756
8061.0;0.6751269035532995;0.08883248730964467;0.233502538071066;0.0025380710659898475
8063.0;0.5924170616113744;0.0971563981042654;0.3056872037914692;0.004739336492890996
8064.0;0.5532994923857868;0.08121827411167512;0.3553299492385787;0.01015228426395939
8065.0;0.6512605042016807;0.07563025210084033;0.2689075630252101;0.004201680672268907
8066.0;0.44722222222222224;0.06666666666666667;0.48333333333333334;0.002777777777777778
8067.0;0.5185185185185185;0.08994708994708994;0.37566137566137564;0.015873015873015872
8068.0;0.5955056179775281;0.06741573033707865;0.3333333333333333;0.003745318352059925
8069.0;0.637065637065637;0.11196911196911197;0.23938223938223938;0.011583011583011582
8070.0;0.5092936802973977;0.09293680297397769;0.38661710037174724;0.011152416356877323
8072.0;0.38596491228070173;0.07894736842105263;0.5350877192982456;0.0
9003.0;0.5255813953488372;0.07441860465116279;0.3813953488372093;0.018604651162790697
9006.0;0.45226130653266333;0.09045226130653267;0.4371859296482412;0.020100502512562814
9007.0;0.4200626959247649;0.10344827586206896;0.4670846394984326;0.009404388714733543
9011.0;0.4931506849315068;0.0776255707762557;0.410958904109589;0.0182648401826484
9012.0;0.45789473684210524;0.07894736842105263;0.4421052631578947;0.021052631578947368
9036.0;0.4252336448598131;0.1261682242990654;0.4439252336448598;0.004672897196261682
9046.0;0.4727272727272727;0.10303030303030303;0.40606060606060607;0.01818181818181818
9052.0;0.4293785310734463;0.11864406779661017;0.4463276836158192;0.005649717514124294
9055.0;0.5144508670520231;0.09826589595375723;0.3699421965317919;0.017341040462427744
9056.0;0.5472636815920398;0.0845771144278607;0.3582089552238806;0.009950248756218905
9083.0;0.46629213483146065;0.11235955056179775;0.4044943820224719;0.016853932584269662
10001.0;0.40784313725490196;0.13333333333333333;0.4470588235294118;0.011764705882352941
10002.0;0.45685279187817257;0.10152284263959391;0.43147208121827413;0.01015228426395939
10003.0;0.5703422053231939;0.09125475285171103;0.3269961977186312;0.011406844106463879
10016.0;0.4636363636363636;0.12272727272727273;0.40454545454545454;0.00909090909090909
10019.0;0.6206896551724138;0.09913793103448276;0.27155172413793105;0.008620689655172414
10021.0;0.627906976744186;0.08837209302325581;0.27906976744186046;0.004651162790697674
10023.0;0.5119617224880383;0.09569377990430622;0.37799043062200954;0.014354066985645933
10026.0;0.4880952380952381;0.05952380952380952;0.44047619047619047;0.011904761904761904
10034.0;0.5408560311284046;0.08560311284046693;0.35797665369649806;0.01556420233463035
10052.0;0.5309278350515464;0.08247422680412371;0.37628865979381443;0.010309278350515464
10056.0;0.5;0.07647058823529412;0.40588235294117647;0.01764705882352941
10066.0;0.4885844748858447;0.1050228310502283;0.3926940639269406;0.0136986301369863
10068.0;0.6060606060606061;0.09956709956709957;0.29004329004329005;0.004329004329004329
10069.0;0.5958702064896755;0.09734513274336283;0.3008849557522124;0.0058997050147492625
10070.0;0.6327160493827161;0.06790123456790123;0.29012345679012347;0.009259259259259259
10071.0;0.5579710144927537;0.09057971014492754;0.33695652173913043;0.014492753623188406
10072.0;0.6272912423625254;0.0814663951120163;0.285132382892057;0.006109979633401222
10074.0;0.5310734463276836;0.1016949152542373;0.3615819209039548;0.005649717514124294
11002.0;0.4965753424657534;0.13013698630136986;0.363013698630137;0.010273972602739725
11003.0;0.5892255892255892;0.08417508417508418;0.31986531986531985;0.006734006734006734
11004.0;0.5569620253164557;0.12236286919831224;0.3037974683544304;0.016877637130801686
11006.0;0.5213270142180095;0.10900473933649289;0.35071090047393366;0.018957345971563982
11007.0;0.6121794871794872;0.10576923076923077;0.27884615384615385;0.003205128205128205
11008.0;0.514792899408284;0.10650887573964497;0.3668639053254438;0.011834319526627219
11010.0;0.5950413223140496;0.09504132231404959;0.30578512396694213;0.004132231404958678
11013.0;0.5123152709359606;0.11822660098522167;0.3448275862068966;0.024630541871921183
