NUMSECCENS;En alquiler;En propiedad;Otro régimen de tenencia
7076.0;0.09042553191489362;0.8617021276595744;0.047872340425531915
7077.0;0.07834101382488479;0.8617511520737328;0.059907834101382486
7078.0;0.13186813186813187;0.7967032967032966;0.07142857142857142
7082.0;0.06529209621993128;0.9037800687285223;0.030927835051546393
7089.0;0.08866995073891626;0.8719211822660099;0.03940886699507389
7090.0;0.08849557522123894;0.8761061946902655;0.035398230088495575
7091.0;0.045454545454545456;0.9265734265734266;0.027972027972027972
7092.0;0.1271186440677966;0.8347457627118644;0.038135593220338986
8001.0;0.12962962962962962;0.8009259259259259;0.06944444444444445
8003.0;0.1043956043956044;0.8241758241758241;0.07142857142857142
8004.0;0.17647058823529413;0.755656108597285;0.06787330316742081
8005.0;0.12138728323699421;0.815028901734104;0.06358381502890173
8006.0;0.045081967213114756;0.9221311475409836;0.03278688524590164
8007.0;0.0967741935483871;0.8440860215053764;0.05913978494623656
8010.0;0.08518518518518518;0.8851851851851852;0.02962962962962963
8011.0;0.11255411255411256;0.8268398268398268;0.06060606060606061
8012.0;0.16816816816816818;0.7807807807807807;0.05105105105105105
8013.0;0.125;0.8303571428571429;0.044642857142857144
8015.0;0.17766497461928935;0.7157360406091371;0.1065989847715736
8017.0;0.1941747572815534;0.7281553398058253;0.07766990291262135
8020.0;0.10880829015544041;0.8341968911917098;0.05699481865284974
8021.0;0.060109289617486336;0.8688524590163934;0.07103825136612021
8027.0;0.11428571428571428;0.8285714285714286;0.05714285714285714
8028.0;0.09433962264150944;0.8566037735849057;0.04905660377358491
8029.0;0.1484375;0.796875;0.0546875
8030.0;0.13522012578616352;0.8207547169811321;0.0440251572327044
8031.0;0.11538461538461539;0.8461538461538461;0.038461538461538464
8033.0;0.11923076923076924;0.8538461538461538;0.026923076923076925
8034.0;0.13872832369942195;0.7976878612716763;0.06358381502890173
8035.0;0.06440677966101695;0.9016949152542373;0.03389830508474576
8039.0;0.07;0.895;0.035
8040.0;0.0661764705882353;0.9007352941176471;0.03308823529411765
8041.0;0.10152284263959391;0.8477157360406091;0.050761421319796954
8042.0;0.0842911877394636;0.8620689655172413;0.05363984674329502
8043.0;0.08650519031141868;0.8823529411764706;0.031141868512110725
8044.0;0.05964912280701754;0.9052631578947369;0.03508771929824561
8054.0;0.07352941176470588;0.8786764705882353;0.04779411764705882
8055.0;0.10714285714285714;0.8367346938775511;0.05612244897959184
8056.0;0.12432432432432433;0.8108108108108109;0.06486486486486487
8057.0;0.08116883116883117;0.8733766233766234;0.045454545454545456
8058.0;0.16532258064516128;0.7701612903225806;0.06451612903225806
8059.0;0.07423580786026202;0.9039301310043668;0.021834061135371178
8061.0;0.08992805755395683;0.8812949640287769;0.02877697841726619
8063.0;0.11077844311377245;0.8473053892215568;0.041916167664670656
8066.0;0.13522012578616352;0.8113207547169812;0.05345911949685535
8068.0;0.09375;0.875;0.03125
8069.0;0.07329842931937172;0.8743455497382199;0.05235602094240838
8070.0;0.07766990291262135;0.8737864077669902;0.04854368932038835
8072.0;0.11442786069651742;0.835820895522388;0.04975124378109453
9001.0;0.16145833333333334;0.765625;0.07291666666666667
9003.0;0.12552301255230125;0.799163179916318;0.07531380753138076
9004.0;0.12962962962962962;0.8009259259259259;0.06944444444444445
9006.0;0.13877551020408163;0.7877551020408163;0.07346938775510205
9007.0;0.1988472622478386;0.7204610951008645;0.08069164265129683
9010.0;0.14814814814814814;0.7671957671957672;0.08465608465608465
9011.0;0.1111111111111111;0.8271604938271605;0.06172839506172839
9012.0;0.12727272727272726;0.7954545454545454;0.07727272727272727
9014.0;0.19047619047619047;0.7023809523809523;0.10714285714285714
9021.0;0.08287292817679558;0.7955801104972375;0.12154696132596685
9023.0;0.09230769230769231;0.8666666666666667;0.041025641025641026
9025.0;0.35;0.5333333333333333;0.11666666666666667
9027.0;0.2767857142857143;0.6160714285714286;0.10714285714285714
9034.0;0.14285714285714285;0.8114285714285714;0.045714285714285714
9036.0;0.19658119658119658;0.7307692307692307;0.07264957264957266
9038.0;0.11320754716981132;0.8207547169811321;0.0660377358490566
9039.0;0.1695906432748538;0.7485380116959064;0.08187134502923976
9040.0;0.2346368715083799;0.6368715083798883;0.12849162011173185
9046.0;0.12727272727272726;0.8045454545454546;0.06818181818181818
9052.0;0.1574468085106383;0.7872340425531915;0.05531914893617021
9053.0;0.08426966292134831;0.8707865168539326;0.0449438202247191
9056.0;0.19072164948453607;0.7577319587628866;0.05154639175257732
9059.0;0.11176470588235295;0.8235294117647058;0.06470588235294118
9067.0;0.14871794871794872;0.8102564102564103;0.041025641025641026
9083.0;0.11904761904761904;0.8142857142857143;0.06666666666666667
10001.0;0.18339100346020762;0.740484429065744;0.07612456747404844
10002.0;0.12987012987012986;0.8008658008658008;0.06926406926406926
10003.0;0.12916666666666668;0.8166666666666667;0.05416666666666667
10009.0;0.10857142857142857;0.8285714285714286;0.06285714285714286
10010.0;0.1111111111111111;0.8232323232323232;0.06565656565656566
10013.0;0.09195402298850575;0.8275862068965517;0.08045977011494253
10015.0;0.14285714285714285;0.8076923076923077;0.04945054945054945
10016.0;0.1625;0.7666666666666667;0.07083333333333333
10018.0;0.135;0.82;0.045
10019.0;0.049723756906077346;0.9171270718232044;0.03314917127071823
10021.0;0.06285714285714286;0.8971428571428571;0.04
10022.0;0.11428571428571428;0.8228571428571428;0.06285714285714286
10023.0;0.10087719298245613;0.8552631578947368;0.043859649122807015
10026.0;0.06321839080459771;0.896551724137931;0.040229885057471264
10033.0;0.13636363636363635;0.8181818181818182;0.045454545454545456
10034.0;0.109375;0.8359375;0.0546875
10035.0;0.09195402298850575;0.8563218390804598;0.05172413793103448
10040.0;0.1130952380952381;0.7976190476190477;0.08928571428571429
10043.0;0.13592233009708737;0.8106796116504854;0.05339805825242718
10046.0;0.10179640718562874;0.8023952095808383;0.09580838323353294
