Total Nacional;Municipios;Subciudad;Indicadores;Sexo;Periodo;Total
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;19.351,26
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;19.901,96
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;29.357,53
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;27.728,01
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;26.595,30
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;26.600,78
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;24.092,68
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;23.616,76
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;23.108,41
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;21.482,19
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;21.482,19
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;21.854,87
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Rosaleda: Suárez - Carlos Haya (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;37.981,96
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;35.887,63
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;33.953,86
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;33.685,39
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;30.769,40
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;29.789,44
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;28.757,08
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;27.101,11
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;27.101,11
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;27.100,40
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Puerto de la Torre: Puerto de la Torre - Cañada Los Cardos - Soliva Este (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;30.036,04
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;28.273,61
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;27.229,13
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;27.376,99
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;24.897,56
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;23.998,70
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;23.431,05
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;21.942,57
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;21.942,57
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;22.043,28
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Prolongación: Portada Alta - San Rafael (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2022;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2021;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2020;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2019;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2018;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2017;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2016;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2015;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2014;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2013;26.106,56
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Málaga sub-city . No. 11;Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;29.756,57
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;28.120,55
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;27.103,47
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;26.779,09
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;23.583,51
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;22.582,32
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;21.792,00
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;20.070,83
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;20.070,83
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;20.041,26
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Campanillas (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Prolongación: Mármoles - Carranque (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
