NUMSECCENS;he_pct_11;kw_pct_11;median_price_inf_11;SES_11;he_pct_21;kw_pct_21;median_price_inf_21;SES_21;RANK_11;RANK_21;SES_ASC;SES_PR_11;SES_PR_21;SES_PR_ASC
2031.0;0.3333333333333333;0.3333333333333333;2846.9961375450084;2.2271290241893618;;;;;38.5;;;91.17647058823529;;
2032.0;0.4448979591836735;0.9047619047619048;2846.9961375450084;2.808709299211001;;;;;26.0;;;94.11764705882352;;
2033.0;0.4621993127147766;0.834307992202729;2846.9961375450084;2.7813831535695868;;;;;27.0;;;93.88235294117648;;
2034.0;0.8723404255319149;0.883116883116883;2846.9961375450084;3.4035265785003697;;;;;4.0;;;99.29411764705883;;
2035.0;0.8899082568807339;0.6484375;2846.9961375450084;3.255255791568444;;;;;6.0;;;98.82352941176471;;
2036.0;0.7777777777777778;0.9138755980861244;2846.9961375450084;3.291121880596446;;;;;5.0;;;99.05882352941177;;
2037.0;0.3940042826552462;0.8326771653543307;2846.9961375450084;2.6827287982725028;;;;;29.0;;;93.41176470588235;;
2038.0;0.8651685393258427;0.9095477386934672;2846.9961375450084;3.4128044914715536;;;;;3.0;;;99.52941176470588;;
2039.0;0.3333333333333333;0.8085106382978723;2846.9961375450084;2.5781774477801322;;;;;32.0;;;92.70588235294117;;
2040.0;0.5181818181818182;0.9138755980861244;2846.9961375450084;2.9201636487351377;;;;;19.0;;;95.76470588235294;;
2041.0;0.4416543574593796;0.4962406015037593;2846.9961375450084;2.5022695145497886;0.619718309859155;0.717948717948718;3240.393552;4.001206295367993;35.0;5.0;1.4989367808182044;92.0;97.03703703703704;5.037037037037038
2042.0;0.4970588235294118;0.942122186495177;2846.9961375450084;2.910847079285915;;;;;21.0;;;95.29411764705881;;
2043.0;0.4422222222222222;0.966728280961183;2846.9961375450084;2.8506648359985283;;;;;23.0;;;94.82352941176471;;
2044.0;0.5112359550561798;0.8466666666666667;2846.9961375450084;2.8605859471747532;0.5074074074074074;0.6782945736434108;3240.393552;3.8114204840590613;22.0;9.0;0.9508345368843081;95.05882352941177;94.07407407407408;-0.9847494553376919
2045.0;0.0975609756097561;0.0483870967741935;2846.9961375450084;1.6797035739054995;;;;;49.0;;;88.70588235294117;;
2046.0;0.7876106194690266;0.7721518987341772;2846.9961375450084;3.200471124696669;;;;;8.0;;;98.3529411764706;;
2047.0;0.7062374245472838;0.7817047817047817;2846.9961375450084;3.091247623873981;0.6570048309178744;0.7878787878787878;3240.393552;4.106150588665164;10.0;2.0;1.0149029647911831;97.88235294117648;99.25925925925925;1.3769063180827743
2048.0;0.5417156286721504;0.6092105263157895;2846.9961375450084;2.7287145694787465;0.6653696498054475;0.7777777777777778;3240.393552;4.110641414184852;28.0;1.0;1.3819268447061055;93.64705882352942;100.0;6.35294117647058
2049.0;0.5335608646188852;0.9047619047619048;2846.9961375450084;2.9354070902056053;0.5209790209790209;0.6923076923076923;3240.393552;3.8411666115109764;17.0;8.0;0.9057595213053711;96.23529411764706;94.81481481481482;-1.4204793028322342
2050.0;0.5554465161923454;0.8506787330316743;2846.9961375450084;2.9267260991525164;0.6084656084656084;0.7656675749318801;3240.393552;4.02037980484794;18.0;4.0;1.093653705695424;96.0;97.77777777777777;1.7777777777777715
3001.0;0.922077922077922;0.883116883116883;1581.7654364112982;-0.0010898047125241783;;;;;104.0;;;75.76470588235294;;
3002.0;0.6000000000000001;0.9487179487179488;1581.7654364112982;-0.4128693712785404;;;;;200.0;;;53.17647058823529;;
3003.0;0.3625730994152047;0.2687651331719128;1581.7654364112982;-1.254479547205439;0.3370786516853932;0.4588235294117647;1597.41702;-1.1075044076475873;388.0;129.0;0.1469751395578518;8.941176470588236;5.185185185185185;-3.7559912854030504
4001.0;0.0975609756097561;0.8656716417910447;1659.0156111482122;-0.9799862080760056;0.3989637305699481;0.5026455026455026;1827.690669;-0.3541169417311976;348.0;104.0;0.625869266344808;18.352941176470587;23.703703703703706;5.350762527233119
4002.0;0.3573141486810552;0.6309963099630995;1659.0156111482122;-0.7821752483784035;;;;;324.0;;;24.0;;
4003.0;0.8048780487804879;0.8902439024390244;1659.0156111482122;0.048911252313118936;0.2204301075268817;0.3021978021978022;1827.690669;-0.7573239257484496;91.0;123.0;-0.8062351780615686;78.82352941176471;9.62962962962963;-69.19389978213508
4004.0;0.3722466960352423;0.5626822157434402;1659.0156111482122;-0.8113055367607481;0.3045977011494253;0.4210526315789473;1827.690669;-0.5492430552210743;325.0;117.0;0.2620624815396738;23.764705882352942;14.074074074074074;-9.690631808278868
4005.0;0.09375;0.0865384615384615;1659.0156111482122;-1.5610350117702119;;;;;425.0;;;0.2352941176470588;;
4006.0;0.3088235294117647;0.4709897610921501;1659.0156111482122;-0.9696761283095392;;;;;347.0;;;18.58823529411765;;
4007.0;0.3245901639344262;0.2598039215686274;1659.0156111482122;-1.1031643864564844;0.2916666666666666;0.3975903614457832;1827.690669;-0.5850545891563503;364.0;120.0;0.5181097973001341;14.588235294117647;11.851851851851853;-2.7363834422657938
4008.0;0.3333333333333333;0.8085106382978723;1659.0156111482122;-0.6853005373746637;;;;;297.0;;;30.352941176470587;;
4009.0;0.2669789227166276;0.4501278772378517;1659.0156111482122;-1.044883570893899;0.3575129533678756;0.5078534031413613;1827.690669;-0.4095019415526868;357.0;109.0;0.6353816293412122;16.235294117647058;20.0;3.764705882352942
4010.0;0.3154034229828851;0.5561643835616439;1659.0156111482122;-0.8973488137254151;;;;;344.0;;;19.294117647058822;;
4011.0;0.8991596638655462;0.9117647058823528;1659.0156111482122;0.1995370846036293;;;;;81.0;;;81.17647058823529;;
4012.0;0.3333333333333333;0.3333333333333333;1659.0156111482122;-1.0363489609654342;;;;;354.5;;;16.823529411764707;;
4013.0;0.1985294117647058;0.3584070796460177;1659.0156111482122;-1.2104576624175878;;;;;380.0;;;10.823529411764705;;
4014.0;0.0585365853658536;0.3932038834951456;1659.0156111482122;-1.3847980833200313;;;;;413.0;;;3.058823529411765;;
4015.0;0.3333333333333333;0.3333333333333333;1659.0156111482122;-1.0363489609654342;;;;;354.5;;;16.823529411764707;;
6001.0;0.299168975069252;0.4034034034034034;1778.8347420277046;-0.704250553805359;;;;;307.0;;;28.000000000000004;;
6002.0;0.1647254575707154;0.3535714285714285;1778.8347420277046;-0.9331826093292707;0.1171548117154811;0.2284482758620689;1971.295289;-0.5648933416979212;346.0;119.0;0.3682892676313495;18.823529411764707;12.592592592592592;-6.230936819172115
6003.0;0.0759493670886076;0.3333333333333333;1778.8347420277046;-1.0749935092668301;;;;;361.0;;;15.294117647058824;;
6004.0;0.0869565217391304;0.0483870967741935;1778.8347420277046;-1.269775213814532;;;;;389.0;;;8.705882352941176;;
6005.0;0.1016949152542373;0.0957446808510638;1778.8347420277046;-1.2137277685502934;;;;;381.0;;;10.588235294117647;;
6006.0;0.116504854368932;0.1071428571428571;1778.8347420277046;-1.1841439451142444;;;;;375.0;;;12.0;;
6007.0;0.0461538461538461;0.0497237569060773;1778.8347420277046;-1.3270940573760472;0.0421052631578947;0.1351351351351351;1971.295289;-0.7410751562234574;397.0;122.0;0.5860189011525898;6.8235294117647065;10.37037037037037;3.5468409586056637
6008.0;0.0489795918367346;0.0532544378698224;1778.8347420277046;-1.3204477409260122;;;;;396.0;;;7.0588235294117645;;
6009.0;0.1363636363636363;0.0625;1778.8347420277046;-1.1887470437814314;;;;;376.0;;;11.76470588235294;;
6010.0;0.116504854368932;0.1139240506329113;1778.8347420277046;-1.1791341787388805;;;;;373.0;;;12.470588235294118;;
6011.0;0.0655737704918032;0.3333333333333333;1778.8347420277046;-1.0898200611671265;;;;;363.0;;;14.823529411764705;;
6012.0;0.3463035019455253;0.744408945686901;1778.8347420277046;-0.38497023837247857;0.2849462365591398;0.4560439560439561;1971.295289;-0.15698056775187882;186.0;84.0;0.22798967062059974;56.470588235294116;38.51851851851852;-17.952069716775597
6013.0;0.4130982367758186;0.1951807228915662;1778.8347420277046;-0.6952769758918702;0.1639344262295082;0.3045267489711934;1971.295289;-0.44184130091870283;302.0;113.0;0.2534356749731674;29.176470588235293;17.037037037037038;-12.139433551198255
6015.0;0.3333333333333333;0.3333333333333333;1778.8347420277046;-0.7071961784601444;;;;;309.5;;;27.41176470588235;;
6016.0;0.0774193548387096;0.0410958904109589;1778.8347420277046;-1.288790214266796;;;;;391.0;;;8.235294117647058;;
6017.0;0.0284360189573459;0.5326315789473685;1778.8347420277046;-0.9956530073945091;;;;;349.0;;;18.11764705882353;;
6018.0;0.3333333333333333;0.3333333333333333;1778.8347420277046;-0.7071961784601444;;;;;309.5;;;27.41176470588235;;
