NUMSECCENS;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional
7022.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333
7023.0;0.0066815144766146995;0.0066815144766146995;0.18930957683741648;0.1447661469933185;0.0066815144766146995;0.0066815144766146995;0.0066815144766146995;0.0066815144766146995;0.0066815144766146995;0.3674832962138085;0.24498886414253898;0.0066815144766146995
7025.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333
7026.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333
7027.0;0.00702576112412178;0.00702576112412178;0.00702576112412178;0.00702576112412178;0.3044496487119438;0.00702576112412178;0.00702576112412178;0.4449648711943794;0.00702576112412178;0.1873536299765808;0.00702576112412178;0.00702576112412178
7028.0;0.013043478260869565;0.013043478260869565;0.013043478260869565;0.391304347826087;0.013043478260869565;0.013043478260869565;0.013043478260869565;0.013043478260869565;0.013043478260869565;0.4782608695652174;0.013043478260869565;0.013043478260869565
7029.0;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.7203389830508474;0.025423728813559324;0.025423728813559324
7030.0;0.003131524008350731;0.003131524008350731;0.12526096033402923;0.08872651356993737;0.151356993736952;0.003131524008350731;0.003131524008350731;0.003131524008350731;0.003131524008350731;0.31837160751565763;0.1304801670146138;0.16701461377870563
7031.0;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.02097902097902098;0.7692307692307693;0.02097902097902098;0.02097902097902098
7032.0;0.011235955056179775;0.011235955056179775;0.011235955056179775;0.011235955056179775;0.2247191011235955;0.011235955056179775;0.011235955056179775;0.011235955056179775;0.011235955056179775;0.4868913857677903;0.18726591760299627;0.011235955056179775
7033.0;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.46511627906976744;0.013953488372093023;0.013953488372093023;0.013953488372093023;0.3953488372093023
7034.0;0.0035252643948296123;0.0035252643948296123;0.1410105757931845;0.0035252643948296123;0.0035252643948296123;0.0035252643948296123;0.0035252643948296123;0.21739130434782608;0.0035252643948296123;0.32314923619271446;0.1762632197414806;0.11750881316098707
7035.0;0.006564551422319475;0.006564551422319475;0.006564551422319475;0.18599562363238512;0.006564551422319475;0.006564551422319475;0.006564551422319475;0.006564551422319475;0.006564551422319475;0.3938730853391685;0.3610503282275711;0.006564551422319475
7037.0;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.7079646017699115;0.02654867256637168;0.02654867256637168;0.02654867256637168;0.02654867256637168
7039.0;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.02027027027027027;0.777027027027027;0.02027027027027027;0.02027027027027027
7040.0;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.020689655172413793;0.41379310344827586;0.3793103448275862;0.020689655172413793
