NUMSECCENS;Seccion de residencia;he_pct
10048.0;Sección 2906710048;0.09022556390977443
10049.0;Sección 2906710049;0.045627376425855515
10050.0;Sección 2906710050;0.0736196319018405
10051.0;Sección 2906710051;0.11650485436893204
10052.0;Sección 2906710052;0.021778584392014518
10053.0;Sección 2906710053;0.12244897959183673
10054.0;Sección 2906710054;0.09375
10055.0;Sección 2906710055;0.09375
10056.0;Sección 2906710056;0.529113924050633
10057.0;Sección 2906710057;0.2558139534883721
10058.0;Sección 2906710058;0.05504587155963303
10059.0;Sección 2906710059;0.08275862068965517
10060.0;Sección 2906710060;0.047058823529411764
10061.0;Sección 2906710061;0.11650485436893204
10062.0;Sección 2906710062;0.1938202247191011
10063.0;Sección 2906710063;0.05504587155963303
10064.0;Sección 2906710064;0.04285714285714286
10065.0;Sección 2906710065;0.3333333333333333
10066.0;Sección 2906710066;0.31849791376912373
10067.0;Sección 2906710067;0.07142857142857142
10068.0;Sección 2906710068;0.018808777429467086
10069.0;Sección 2906710069;0.46518987341772156
10070.0;Sección 2906710070;0.2302158273381295
10071.0;Sección 2906710071;0.19517543859649122
10072.0;Sección 2906710072;0.3292847503373819
11001.0;Sección 2906711001;0.0784313725490196
11002.0;Sección 2906711002;0.11664482306684142
11003.0;Sección 2906711003;0.15517241379310345
11004.0;Sección 2906711004;0.3154034229828851
11005.0;Sección 2906711005;0.0784313725490196
11006.0;Sección 2906711006;0.0216998191681736
11007.0;Sección 2906711007;0.10557532621589562
11008.0;Sección 2906711008;0.12858464384828863
11009.0;Sección 2906711009;0.08695652173913043
11010.0;Sección 2906711010;0.19525065963060687
