Municipio de residencia;Seccion de residencia;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
29067 Málaga;Sección 2906707016;*;*;*;135;*;*;*;105;*;*;*;*
29067 Málaga;Sección 2906707017;*;*;105;125;110;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707018;*;*;*;*;155;*;*;120;*;*;*;*
29067 Málaga;Sección 2906707019;*;*;*;90;*;80;*;*;*;*;*;*
29067 Málaga;Sección 2906707020;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707021;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707022;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707023;*;*;65;165;110;*;85;*;*;*;*;*
29067 Málaga;Sección 2906707025;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707026;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707027;*;*;*;80;*;*;*;130;*;190;*;*
29067 Málaga;Sección 2906707028;*;*;90;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707029;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707030;*;*;85;305;125;160;120;145;*;*;*;*
29067 Málaga;Sección 2906707031;*;*;*;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707032;*;*;*;130;50;*;*;60;*;*;*;*
29067 Málaga;Sección 2906707033;*;*;*;*;*;85;*;*;*;100;*;*
29067 Málaga;Sección 2906707034;*;*;*;275;150;100;120;*;*;185;*;*
29067 Málaga;Sección 2906707035;*;*;85;180;165;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707037;*;*;*;*;*;*;*;*;*;80;*;*
29067 Málaga;Sección 2906707039;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707040;*;*;*;60;55;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707041;*;*;*;70;155;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707042;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707043;*;*;*;90;120;*;85;100;*;120;*;*
29067 Málaga;Sección 2906707044;*;*;*;100;70;*;*;*;*;75;*;*
29067 Málaga;Sección 2906707045;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707046;*;*;100;280;65;*;*;60;*;*;*;*
29067 Málaga;Sección 2906707047;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707048;*;*;*;370;115;75;80;*;*;75;*;*
29067 Málaga;Sección 2906707049;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707050;*;*;*;*;*;95;*;*;*;*;*;*
29067 Málaga;Sección 2906707051;*;*;*;180;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707052;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707053;*;*;195;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707054;*;*;*;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707055;*;*;70;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707056;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707057;*;*;*;*;130;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707058;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707059;*;*;*;140;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707060;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707061;*;*;*;150;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707062;*;*;100;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707064;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707065;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707066;*;*;*;80;160;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707067;*;*;60;*;*;*;*;130;*;*;*;*
29067 Málaga;Sección 2906707068;*;*;*;*;165;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707069;*;*;*;*;*;*;*;*;*;65;*;*
29067 Málaga;Sección 2906707070;*;*;*;55;*;*;*;80;*;*;*;*
29067 Málaga;Sección 2906707071;*;*;55;190;105;*;*;*;*;110;*;*
29067 Málaga;Sección 2906707072;*;*;*;120;110;115;105;155;*;80;*;*
29067 Málaga;Sección 2906707073;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707074;*;*;*;85;*;*;*;95;*;105;*;*
29067 Málaga;Sección 2906707075;*;*;*;*;*;*;*;90;*;*;*;*
29067 Málaga;Sección 2906707076;*;*;*;195;*;*;75;*;*;55;*;*
29067 Málaga;Sección 2906707077;*;75;*;190;*;140;55;90;*;*;*;*
29067 Málaga;Sección 2906707078;*;*;*;90;*;60;*;*;*;*;*;*
29067 Málaga;Sección 2906707079;*;*;75;150;*;75;85;*;*;*;*;*
29067 Málaga;Sección 2906707080;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707081;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707082;*;*;150;225;60;150;145;*;*;*;*;*
29067 Málaga;Sección 2906707083;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707084;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707085;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707086;*;*;70;100;*;85;*;*;*;60;*;*
29067 Málaga;Sección 2906707087;*;*;*;95;70;55;*;45;*;*;*;*
29067 Málaga;Sección 2906707088;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707089;*;85;*;115;55;*;100;*;*;*;*;*
29067 Málaga;Sección 2906707090;*;*;65;105;75;70;60;80;*;*;*;*
29067 Málaga;Sección 2906707091;*;*;*;220;125;100;65;*;*;65;*;*
29067 Málaga;Sección 2906707092;*;*;*;540;210;205;170;110;*;120;*;*
29067 Málaga;Sección 2906707093;*;*;*;60;65;*;*;60;*;*;*;*
29067 Málaga;Sección 2906707094;*;*;135;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708001;*;*;*;110;110;70;*;*;*;120;*;*
29067 Málaga;Sección 2906708002;*;*;*;90;*;*;*;60;*;*;*;*
29067 Málaga;Sección 2906708003;*;*;*;85;*;*;*;90;*;*;*;*
29067 Málaga;Sección 2906708004;*;*;70;125;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708005;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708006;*;*;55;370;80;60;*;*;*;*;*;*
29067 Málaga;Sección 2906708007;*;*;*;205;155;60;*;*;*;*;*;*
29067 Málaga;Sección 2906708008;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708009;*;*;*;125;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708010;*;*;135;180;65;*;195;85;*;*;*;*
29067 Málaga;Sección 2906708011;*;105;95;130;*;105;60;*;*;*;*;*
29067 Málaga;Sección 2906708012;*;*;*;245;*;*;*;*;*;95;*;*
29067 Málaga;Sección 2906708013;*;*;80;300;*;*;85;60;*;*;*;*
29067 Málaga;Sección 2906708014;*;*;*;75;100;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708015;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708016;*;*;*;170;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708017;*;*;100;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708018;*;*;*;170;85;*;130;220;*;110;*;*
29067 Málaga;Sección 2906708019;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708020;*;*;*;175;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708021;*;*;65;*;95;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708022;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708023;*;*;105;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708024;*;*;85;80;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708025;*;*;*;160;110;*;*;*;*;70;*;*
29067 Málaga;Sección 2906708026;*;*;150;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708027;*;*;135;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708028;*;*;*;195;50;*;50;*;*;*;*;*
29067 Málaga;Sección 2906708029;*;*;*;235;130;55;*;115;*;80;*;*
29067 Málaga;Sección 2906708030;*;*;*;95;55;*;*;150;*;100;*;*
29067 Málaga;Sección 2906708031;*;*;80;210;*;*;115;140;*;*;*;*
29067 Málaga;Sección 2906708032;*;*;*;*;*;100;*;*;*;*;*;*
29067 Málaga;Sección 2906708033;*;*;*;120;125;95;170;150;65;335;*;*
29067 Málaga;Sección 2906708034;*;*;*;140;120;*;*;120;*;190;*;*
29067 Málaga;Sección 2906708035;*;*;90;335;180;125;110;55;*;100;*;*
29067 Málaga;Sección 2906708036;*;*;75;210;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708037;*;*;*;115;100;*;*;90;*;90;*;55
29067 Málaga;Sección 2906708039;*;*;110;290;*;85;*;*;*;*;*;*
29067 Málaga;Sección 2906708040;*;*;*;370;95;*;110;*;*;*;*;*
29067 Málaga;Sección 2906708041;*;*;*;80;*;90;115;100;*;*;*;*
29067 Málaga;Sección 2906708042;*;*;*;165;180;*;165;205;*;200;*;*
29067 Málaga;Sección 2906708043;*;*;*;265;320;75;150;100;*;380;*;*
29067 Málaga;Sección 2906708044;*;*;130;200;135;60;150;155;*;115;*;*
29067 Málaga;Sección 2906708045;*;*;*;100;*;*;135;*;*;*;*;*
29067 Málaga;Sección 2906708046;*;*;*;125;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708047;*;*;*;230;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708048;*;*;*;55;*;*;*;75;*;*;*;*
29067 Málaga;Sección 2906708049;*;*;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708050;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708051;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708052;*;*;*;80;70;*;75;90;*;115;*;*
29067 Málaga;Sección 2906708053;*;*;*;275;135;60;*;*;*;*;*;*
29067 Málaga;Sección 2906708054;*;*;90;235;105;105;55;95;*;45;*;*
29067 Málaga;Sección 2906708055;*;*;55;170;105;*;85;55;*;*;*;*
29067 Málaga;Sección 2906708056;*;*;*;195;215;125;290;140;*;295;*;*
29067 Málaga;Sección 2906708057;*;*;*;130;155;*;*;225;*;225;*;*
29067 Málaga;Sección 2906708058;*;*;*;*;135;*;185;140;*;375;*;*
29067 Málaga;Sección 2906708059;*;*;*;80;125;*;60;270;*;195;*;*
29067 Málaga;Sección 2906708060;*;*;*;*;140;*;75;110;*;*;*;*
29067 Málaga;Sección 2906708061;*;*;70;315;165;85;150;190;*;240;*;*
29067 Málaga;Sección 2906708062;*;*;*;*;55;*;*;85;*;*;*;*
