Municipio de residencia;Sección ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
Total;Sección 2906710026;516;0;3;24;135;72;66;0;66;63;54;30;3
Total;Sección 2906710034;783;0;6;39;258;99;87;3;96;93;72;21;9
Total;Sección 2906710052;585;0;0;15;147;81;69;3;66;84;60;45;12
Total;Sección 2906710056;519;0;3;3;60;57;36;0;78;102;102;57;21
Total;Sección 2906710066;663;0;9;15;114;69;60;0;60;111;159;51;15
Total;Sección 2906710068;699;0;3;24;195;102;93;3;117;90;48;21;3
Total;Sección 2906710069;1029;3;3;21;138;114;78;3;105;183;279;75;33
Total;Sección 2906710070;975;0;3;15;153;117;72;3;99;192;231;66;27
Total;Sección 2906710071;834;0;3;18;105;72;66;0;81;141;195;102;45
Total;Sección 2906710072;1479;0;6;30;129;150;90;3;141;300;426;147;57
Total;Sección 2906710074;534;0;3;24;120;66;60;3;75;78;66;24;15
Total;Sección 2906711002;891;0;6;45;279;117;117;0;99;105;81;36;6
Total;Sección 2906711003;894;0;6;27;228;105;108;0;117;132;108;48;15
Total;Sección 2906711004;723;0;3;27;114;108;57;0;81;135;138;48;15
Total;Sección 2906711006;639;0;9;33;261;78;72;3;84;51;30;12;0
Total;Sección 2906711007;936;0;9;48;231;102;108;3;123;138;123;48;9
Total;Sección 2906711008;516;0;0;12;78;78;33;0;45;93;99;57;21
Total;Sección 2906711010;735;3;0;24;141;111;57;0;87;126;120;45;21
Total;Sección 2906711013;621;0;0;21;120;96;57;3;87;111;78;30;15
29067 Málaga;Total;101409;15;624;3450;23379;10698;10074;207;12120;15816;16338;6087;2598
29067 Málaga;Sección 2906701001;684;3;9;39;60;72;36;0;45;141;174;63;48
29067 Málaga;Sección 2906702003;789;0;0;21;171;93;75;0;78;126;147;54;21
29067 Málaga;Sección 2906702004;549;0;3;6;15;54;15;0;21;93;231;66;48
29067 Málaga;Sección 2906702009;633;0;3;30;177;42;81;6;51;75;105;42;24
29067 Málaga;Sección 2906702013;870;0;6;6;33;99;24;0;48;180;321;87;63
29067 Málaga;Sección 2906702020;540;0;3;42;135;60;45;3;60;72;75;33;9
29067 Málaga;Sección 2906702022;627;0;3;18;30;45;12;3;30;123;255;69;39
29067 Málaga;Sección 2906702024;510;0;12;39;177;57;66;3;51;45;39;12;6
29067 Málaga;Sección 2906702026;768;0;6;21;222;75;96;3;81;108;105;33;18
29067 Málaga;Sección 2906702027;909;0;6;30;162;93;66;0;84;132;225;75;39
29067 Málaga;Sección 2906702028;510;0;6;18;72;75;27;3;42;99;114;39;15
29067 Málaga;Sección 2906702030;843;0;9;42;192;75;81;6;84;102;186;42;24
29067 Málaga;Sección 2906702041;846;0;3;6;33;75;21;0;33;153;357;117;54
29067 Málaga;Sección 2906702044;804;0;3;6;42;102;24;3;54;165;267;84;60
29067 Málaga;Sección 2906702047;618;0;0;3;12;45;6;0;21;126;294;63;51
29067 Málaga;Sección 2906702048;774;0;0;3;15;57;6;0;27;150;333;126;54
29067 Málaga;Sección 2906702049;852;0;0;6;30;105;33;0;57;180;291;87;69
29067 Málaga;Sección 2906702050;1140;0;6;12;33;108;33;0;39;213;438;186;66
29067 Málaga;Sección 2906703003;528;0;12;27;78;60;45;3;45;84;105;48;27
29067 Málaga;Sección 2906704001;579;0;6;21;69;69;33;0;42;108;153;48;30
29067 Málaga;Sección 2906704003;558;0;9;36;183;60;51;3;42;51;84;24;15
29067 Málaga;Sección 2906704004;528;0;3;15;114;72;30;0;51;78;93;45;21
29067 Málaga;Sección 2906704007;501;0;3;27;90;54;45;3;51;84;108;24;15
29067 Málaga;Sección 2906704009;582;0;6;12;66;69;39;0;63;117;153;30;24
29067 Málaga;Sección 2906705002;693;0;12;30;192;60;78;3;60;84;117;36;18
29067 Málaga;Sección 2906706002;717;0;0;27;240;69;132;3;93;69;57;24;3
29067 Málaga;Sección 2906706007;567;0;9;24;303;42;75;3;69;21;12;12;0
29067 Málaga;Sección 2906706012;567;0;3;21;105;63;30;0;57;120;120;33;6
29067 Málaga;Sección 2906706013;732;0;9;51;204;63;93;0;87;105;84;21;15
29067 Málaga;Sección 2906706019;537;0;3;36;189;51;60;0;54;57;63;18;6
29067 Málaga;Sección 2906706025;609;0;6;27;219;57;96;0;78;66;36;21;3
29067 Málaga;Sección 2906706028;888;0;6;42;171;108;75;3;102;150;156;51;27
29067 Málaga;Sección 2906706031;513;0;3;24;198;45;75;0;66;45;39;18;6
29067 Málaga;Sección 2906706039;660;0;0;15;93;84;54;0;87;138;123;48;15
29067 Málaga;Sección 2906706048;906;0;0;6;198;102;114;0;150;159;126;36;15
29067 Málaga;Sección 2906707005;657;0;0;18;126;69;69;6;105;117;96;33;15
29067 Málaga;Sección 2906707011;561;0;6;39;132;63;57;3;48;87;81;42;12
29067 Málaga;Sección 2906707023;798;0;9;42;312;63;105;3;114;75;54;12;6
29067 Málaga;Sección 2906707027;660;0;3;15;72;75;42;3;51;147;153;63;39
29067 Málaga;Sección 2906707030;522;0;3;12;135;57;57;3;78;96;54;21;3
29067 Málaga;Sección 2906707034;717;0;15;33;198;72;84;3;90;87;87;39;3
29067 Málaga;Sección 2906707043;687;0;3;27;156;75;90;0;111;111;69;36;9
29067 Málaga;Sección 2906707046;798;0;12;33;279;96;108;3;96;84;54;24;9
29067 Málaga;Sección 2906707048;681;0;12;27;228;72;102;0;87;78;54;15;9
