Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
Total;Sección 2906708061;1185;0;30;45;66;132;339;318;153;78;27;0;0;0;0;0;0
Total;Sección 2906708063;1272;3;27;60;129;219;273;237;156;117;42;6;3;0;0;0;0
Total;Sección 2906708064;600;3;21;48;48;105;129;84;63;66;27;3;3;0;0;0;0
Total;Sección 2906708065;717;0;9;18;54;171;228;147;60;18;9;0;0;0;0;0;0
Total;Sección 2906708066;1092;3;9;21;165;375;306;117;51;30;9;0;0;0;0;0;0
Total;Sección 2906708067;573;6;24;39;51;72;108;114;87;45;21;0;0;0;0;0;0
Total;Sección 2906708068;804;0;9;30;81;195;270;117;72;24;9;3;0;0;0;0;0
Total;Sección 2906708069;780;0;36;39;33;51;84;165;234;93;36;6;0;0;0;0;0
Total;Sección 2906708070;816;0;21;51;120;198;117;90;96;87;30;6;0;0;3;0;0
Total;Sección 2906708072;693;6;21;24;87;216;189;75;39;30;6;0;0;0;0;0;0
Total;Sección 2906709003;651;3;12;60;69;93;78;84;63;87;78;21;3;0;0;0;0
Total;Sección 2906709006;612;0;15;42;66;93;105;87;87;60;42;15;6;0;0;0;0
Total;Sección 2906709007;975;3;15;69;129;141;141;126;129;132;66;12;0;3;0;0;3
Total;Sección 2906709011;666;3;21;69;84;96;84;63;72;108;66;0;0;0;0;0;0
Total;Sección 2906709012;579;3;12;51;81;90;117;87;57;54;18;6;0;0;0;0;0
Total;Sección 2906709036;651;0;24;48;93;84;105;87;93;69;45;3;0;3;0;0;0
Total;Sección 2906709046;507;0;18;48;48;78;75;57;51;66;45;12;3;9;0;0;0
Total;Sección 2906709052;546;0;21;39;69;84;81;66;63;69;45;6;3;0;3;0;0
Total;Sección 2906709055;525;0;24;93;45;30;27;21;75;159;48;3;0;0;0;0;0
Total;Sección 2906709056;609;0;15;48;57;96;138;96;75;69;18;3;0;0;0;0;0
Total;Sección 2906709083;540;0;21;54;48;51;75;63;99;87;45;0;3;0;0;0;0
Total;Sección 2906710001;789;3;24;75;90;102;132;120;126;78;30;9;0;0;0;0;0
Total;Sección 2906710002;612;3;18;69;57;90;105;105;78;57;27;3;0;0;0;0;0
Total;Sección 2906710003;801;0;15;60;60;102;111;123;138;126;51;12;3;0;3;0;0
Total;Sección 2906710016;675;3;18;45;75;108;132;114;87;63;27;3;0;0;0;0;0
Total;Sección 2906710019;699;6;30;54;27;45;57;144;195;102;39;3;0;0;0;0;0
Total;Sección 2906710021;654;9;30;42;54;75;123;147;84;60;27;3;0;0;0;0;0
Total;Sección 2906710023;633;0;15;72;54;81;84;75;117;93;39;6;0;0;0;0;0
Total;Sección 2906710026;516;3;12;54;66;69;60;48;51;69;75;6;0;0;0;0;0
