NUMSECCENS;15-19;20-34;35-64;65+
4013.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
4014.0;0.02097902097902098;0.7062937062937062;0.1258741258741259;0.14685314685314685
4015.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
5001.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
5002.0;0.005802707930367505;0.379110251450677;0.574468085106383;0.04061895551257253
5003.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
6001.0;0.002904162633107454;0.3998063891577928;0.5769603097773476;0.02032913843175218
6002.0;0.005366726296958855;0.18962432915921287;0.7674418604651163;0.03756708407871199
6003.0;0.02912621359223301;0.08737864077669903;0.6796116504854369;0.20388349514563106
6004.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
