Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906706001;*;*;115;295;190;170;160;70;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706002;*;*;*;100;180;105;135;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706003;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706004;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706005;*;*;*;*;85;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706006;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706007;*;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706008;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706009;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706010;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706011;*;*;85;*;*;*;*;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706012;*;*;80;*;*;*;85;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706013;*;*;*;90;80;70;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706015;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706016;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706017;*;*;*;*;*;130;105;90;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706018;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706019;*;*;*;115;65;95;65;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706020;*;*;*;*;140;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706021;*;*;*;140;*;*;135;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706022;*;*;*;130;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706023;*;*;*;120;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706024;*;*;190;90;180;255;120;65;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706025;*;*;*;90;*;80;125;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706026;*;*;*;70;*;*;50;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706027;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706028;*;*;*;*;*;*;95;*;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706029;*;*;160;195;135;150;195;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706030;*;*;*;*;85;125;50;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706031;*;*;*;*;*;150;60;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706032;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706033;*;*;*;115;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706034;*;*;*;90;70;195;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706035;*;*;*;*;*;*;165;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706036;*;*;*;130;*;50;*;*;*;55;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706037;*;*;85;*;*;45;60;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706038;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706039;*;*;*;130;155;*;165;145;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706040;*;*;90;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706041;*;*;*;*;*;60;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706042;*;*;*;*;85;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706043;*;*;*;*;65;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706044;*;*;125;*;*;65;*;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706045;*;*;80;*;*;*;*;*;45;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706046;*;*;60;80;100;75;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706047;*;*;80;*;*;*;*;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707001;*;*;140;*;*;115;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707002;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707003;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707004;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707005;*;*;*;90;185;65;*;115;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707006;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707008;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707009;*;*;130;*;*;105;*;115;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707010;*;*;*;*;*;50;*;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707011;*;*;*;*;80;90;*;125;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707012;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707013;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707014;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707015;*;*;*;115;*;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707016;*;*;105;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707017;*;*;*;125;155;70;95;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707018;*;*;*;*;190;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707019;*;*;*;*;*;165;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707020;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707021;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707022;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707023;*;*;*;175;210;*;*;70;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707025;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707026;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707027;*;*;*;*;*;*;110;115;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707028;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707029;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707030;*;*;*;75;175;255;230;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707031;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
